id,cars
3662,11
3663,33
3664,14
3665,2
3670,8
3673,7
3684,6
3700,6
3713,3
3732,15
3734,15
3735,21
3745,56
3746,15
3747,4
3754,19
3755,18
3756,63
3757,8
3758,2
3760,3
3761,8
3762,56
3763,3
3764,12
3769,8
3770,17
3772,3
3774,6
3775,12
3826,12
3827,5
3829,27
3832,18
3833,5
3835,5
3839,3
3848,1
3850,12
3858,42
3860,37
3861,19
3862,2
3863,15
3864,7
3865,9
3866,5
3867,21
3868,3
3870,1
3871,14
3872,5
3873,4
3874,3
3877,3
3878,9
3885,1
3925,18
3926,8
3927,5
3933,5
3941,5
3943,7
3946,5
3947,9
3948,16
3949,21
3950,4
3954,11
3955,8
3956,5
3958,15
3959,6
3960,4
3961,12
3962,41
3963,48
3967,16
3968,17
3970,8
3971,54
3972,1
3973,4
4010,9
4027,5
4028,2
4029,19
4030,6
4031,3
4034,2
4035,4
4039,16
4043,4
4044,8
4048,25
4049,37
4060,16
4061,27
4062,4
4063,3
4064,33
4068,32
4070,15
4071,42
4072,1
4073,4
4074,14
4078,3
4085,4
4087,24
4094,13
4122,13
4126,13
4130,9
4132,5
4133,18
4134,3
4135,8
4140,25
4143,4
4144,3
4148,15
4150,4
4151,5
4154,9
4155,15
4156,18
4157,7
4158,19
4161,53
4162,5
4167,22
4168,34
4169,12
4170,1
4174,3
4178,8
4179,3
4180,8
4207,2
4208,11
4222,3
4232,5
4238,2
4239,11
4240,7
4241,3
4245,6
4247,9
4248,5
4249,5
4251,1
4254,2
4256,24
4257,7
4259,7
4261,23
4262,29
4263,4
4264,23
4265,25
4267,6
4268,6
4269,5
4277,2
4278,5
4279,2
4280,13
4292,3
4319,6
4320,5
4325,11
4326,4
4328,3
4340,19
4342,8
4343,37
4344,18
4345,5
4346,19
4349,8
4350,17
4351,19
4352,7
4353,2
4354,1
4355,5
4356,11
4357,7
4358,16
4359,23
4360,9
4361,14
4362,25
4363,27
4364,1
4365,25
4367,3
4368,11
4369,8
4370,11
4371,1
4373,21
4374,25
4410,1
4423,3
4424,11
4438,1
4439,4
4441,11
4442,3
4443,15
4444,27
4446,11
4447,1
4448,6
4452,13
4453,12
4454,9
4456,7
4458,6
4459,13
4460,38
4461,34
4462,8
4463,15
4464,45
4465,25
4466,12
4467,4
4469,19
4470,2
4471,41
4473,16
4477,12
4508,13
4509,2
4510,4
4519,2
4521,15
4524,18
4529,7
4538,23
4539,7
4541,43
4542,19
4543,22
4544,1
4545,6
4547,7
4548,7
4549,6
4550,1
4551,7
4553,36
4554,14
4555,23
4556,38
4557,52
4558,18
4559,3
4561,6
4563,4
4564,16
4565,5
4566,14
4567,8
4568,23
4569,8
4570,8
4572,12
4573,1
4575,38
4577,3
4579,5
4624,7
4634,27
4636,17
4638,15
4639,12
4643,7
4644,13
4645,13
4646,7
4648,13
4649,1
4650,13
4652,16
4653,2
4654,3
4655,11
4656,14
4657,2
4658,2
4659,17
4661,14
4662,17
4663,16
4665,11
4666,12
4667,15
4668,17
4669,18
4670,25
4671,4
4672,13
4677,2
4721,3
4725,3
4726,5
4727,7
4728,32
4731,11
4732,24
4736,4
4737,7
4741,8
4744,3
4745,5
4746,7
4747,6
4748,15
4750,3
4751,13
4753,23
4754,3
4755,1
4757,7
4758,16
4762,9
4763,6
4764,11
4765,19
4766,9
4767,7
4768,13
4769,8
4770,14
4771,53
4773,5
4774,9
4776,14
4777,9
4778,2
4779,31
4825,7
4828,1
4830,27
4833,18
4835,9
4837,19
4838,17
4839,3
4846,8
4848,6
4849,4
4850,8
4852,11
4853,29
4854,5
4855,6
4856,17
4857,29
4858,29
4859,8
4860,4
4861,12
4863,4
4864,11
4865,36
4867,22
4868,6
4871,16
4874,9
4876,28
4877,7
4879,2
4910,32
4923,3
4927,11
4928,11
4933,8
4934,6
4936,62
4939,6
4940,18
4941,15
4944,12
4946,4
4947,17
4948,8
4949,4
4950,7
4952,5
4953,8
4957,12
4958,26
4960,33
4961,5
4963,3
4964,12
4965,11
4966,24
4967,18
4968,4
4969,5
4970,19
4971,14
4973,31
4975,9
4977,7
4979,4
4985,7
4989,16
4990,15
4991,5
5026,9
5027,7
5034,3
5038,15
5040,11
5041,9
5043,7
5044,2
5046,13
5047,1
5049,8
5050,1
5051,12
5054,14
5056,7
5059,2
5062,1
5063,11
5064,23
5065,25
5066,2
5067,27
5068,17
5069,15
5070,7
5071,12
5073,28
5074,13
5075,14
5076,15
5086,14
5120,7
5125,44
5139,19
5140,1
5142,12
5143,7
5144,5
5146,12
5149,19
5150,22
5151,15
5152,16
5153,9
5155,8
5156,8
5157,3
5158,6
5159,4
5161,8
5163,14
5165,6
5166,26
5167,1
5168,11
5169,5
5170,17
5171,9
5172,7
5173,3
5175,4
5191,3
5192,9
5224,4
5228,17
5239,8
5240,7
5241,5
5243,6
5244,12
5247,61
5248,31
5249,7
5250,1
5253,15
5254,6
5255,8
5259,4
5260,1
5263,3
5266,14
5267,16
5268,2
5270,14
5271,36
5272,19
5273,32
5274,5
5299,2
5327,1
5334,8
5337,15
5339,2
5340,9
5342,36
5343,2
5344,9
5345,13
5346,7
5347,8
5348,17
5349,3
5351,9
5352,3
5354,14
5355,7
5357,4
5358,12
5359,8
5360,2
5361,6
5364,4
5365,9
5366,9
5368,7
5369,14
5370,5
5371,14
5373,17
5375,23
5379,4
5382,9
5398,6
5401,35
5418,5
5437,5
5438,16
5444,9
5446,1
5448,3
5449,8
5450,15
5451,1
5452,9
5454,32
5457,3
5458,1
5459,6
5460,5
5461,13
5462,5
5465,1
5467,5
5468,26
5469,12
5470,2
5471,7
5473,14
5479,6
5480,6
5481,3
5518,1
5532,1
5533,6
5534,7
5536,4
5538,28
5540,6
5541,17
5542,19
5544,11
5547,14
5550,29
5551,14
5553,1
5554,15
5557,27
5558,13
5559,24
5560,19
5561,16
5562,7
5565,16
5566,12
5567,12
5568,14
5569,9
5570,9
5572,2
5573,7
5575,1
5591,26
5592,5
5598,3
5625,4
5626,5
5633,11
5638,8
5639,18
5641,3
5642,16
5643,3
5644,7
5646,8
5647,21
5650,13
5651,7
5652,6
5653,8
5658,29
5659,9
5660,4
5661,3
5663,4
5664,19
5665,31
5666,1
5667,14
5668,33
5669,17
5670,7
5671,19
5699,2
5716,17
5726,2
5742,16
5744,8
5745,11
5746,7
5750,4
5751,2
5752,9
5753,19
5754,8
5755,19
5756,21
5757,14
5758,23
5759,16
5760,2
5761,5
5763,18
5764,15
5766,11
5767,6
5768,12
5769,18
5770,11
5771,18
5775,6
5786,5
5816,17
5830,7
5835,2
5844,15
5845,7
5851,14
5852,11
5853,11
5854,15
5855,12
5856,8
5857,13
5858,24
5859,24
5860,25
5861,24
5863,11
5864,21
5866,13
5867,17
5868,17
5869,16
5870,11
5871,1
5875,22
5878,5
5879,4
5880,2
5886,9
5906,9
5916,7
5926,9
5936,11
5945,4
5948,28
5951,9
5952,2
5953,11
5954,22
5956,4
5957,24
5958,24
5959,1
5960,5
5964,21
5965,11
5966,25
5967,13
5968,42
5969,13
5970,1
5971,6
5972,39
5973,31
5974,1
5975,7
5979,7
5986,2
5987,6
6006,11
6042,1
6045,9
6047,7
6048,6
6049,8
6050,12
6051,6
6052,12
6054,1
6055,9
6056,13
6058,9
6059,12
6062,2
6065,19
6066,16
6067,18
6068,27
6069,66
6070,15
6071,15
6073,9
6074,22
6075,61
6076,1
6077,3
6078,4
6114,2
6118,7
6121,12
6139,19
6143,9
6144,5
6147,11
6148,6
6149,2
6150,27
6151,17
6152,27
6153,6
6154,13
6159,1
6163,8
6164,1
6167,13
6168,25
6169,25
6170,4
6171,9
6172,13
6173,25
6174,17
6175,25
6176,3
6177,5
6178,8
6197,3
6203,2
6214,6
6215,9
6220,5
6221,2
6236,7
6239,3
6244,13
6245,2
6247,9
6248,21
6249,13
6250,16
6251,9
6252,23
6253,7
6254,4
6257,5
6258,7
6259,2
6260,23
6262,14
6263,5
6265,6
6267,1
6268,8
6269,14
6270,7
6271,12
6272,8
6273,11
6274,28
6275,6
6276,2
6277,7
6278,7
6279,21
6286,3
6294,7
6296,16
6321,17
6330,24
6331,5
6335,9
6336,5
6345,4
6346,1
6347,6
6350,13
6351,9
6352,14
6353,4
6358,7
6359,9
6360,2
6364,11
6365,14
6366,11
6368,6
6369,14
6370,33
6371,16
6372,16
6373,4
6374,16
6375,24
6377,14
6378,9
6384,3
6385,2
6415,4
6422,3
6431,38
6434,5
6444,5
6445,18
6446,2
6447,21
6448,1
6449,3
6451,5
6452,2
6457,1
6458,7
6462,6
6465,5
6466,23
6468,6
6469,33
6472,5
6474,6
6475,17
6495,11
6510,29
6530,3
6533,18
6534,12
6537,8
6538,6
6541,16
6543,2
6545,14
6547,8
6548,18
6554,1
6557,2
6558,14
6559,8
6560,6
6561,21
6562,21
6564,9
6565,13
6566,11
6568,5
6569,13
6570,5
6573,4
6574,3
6575,6
6584,2
6585,7
6586,8
6611,2
6637,13
6638,8
6641,18
6642,15
6644,11
6645,9
6646,24
6647,3
6652,4
6654,7
6656,6
6658,13
6659,17
6660,18
6661,16
6662,32
6666,6
6667,8
6668,7
6669,2
6670,33
6673,5
6674,5
6675,9
6676,15
6695,2
6704,3
6705,4
6729,19
6732,9
6734,13
6737,9
6740,6
6741,11
6742,1
6743,6
6744,5
6747,1
6751,3
6752,39
6754,3
6755,6
6758,4
6759,12
6760,5
6761,4
6762,4
6763,3
6765,9
6766,23
6767,17
6770,16
6771,3
6774,7
6776,9
6784,2
6792,4
6805,12
6832,8
6835,2
6837,7
6838,13
6839,1
6841,3
6843,34
6844,5
6845,7
6846,18
6851,15
6852,25
6854,21
6855,18
6857,11
6860,46
6861,4
6863,26
6866,9
6867,21
6871,3
6875,42
6876,14
6877,11
6892,9
6904,12
6906,3
6907,21
6928,9
6931,8
6932,1
6938,1
6939,12
6943,17
6950,3
6951,8
6952,3
6953,3
6954,8
6955,12
6956,15
6957,26
6959,1
6960,6
6961,2
6962,4
6965,37
6970,12
6971,7
6973,3
6975,11
6977,9
6979,2
6985,15
6986,3
6987,24
7031,13
7032,14
7039,6
7053,22
7054,12
7055,11
7056,4
7057,6
7073,2
7076,15
7079,11
7083,12
7087,2
7095,7
7126,5
7141,8
7154,7
7156,2
7160,3
7161,32
7162,1
7163,43
7164,4
7175,13
7178,6
7179,11
7183,6
7193,5
7225,9
7226,7
7239,8
7254,7
7255,1
7256,2
7261,1
7262,2
7264,3
7265,14
7268,13
7269,19
7270,7
7271,22
7272,3
7274,3
7279,15
7280,4
7325,5
7326,14
7333,4
7339,3
7342,9
7343,3
7345,13
7355,15
7358,8
7363,17
7365,3
7366,2
7367,18
7369,6
7371,4
7373,6
7374,8
7379,6
7381,12
7382,6
7390,2
7391,19
7435,3
7439,6
7440,5
7441,2
7442,5
7444,8
7445,2
7446,2
7449,6
7450,7
7454,3
7455,3
7459,6
7460,5
7462,2
7465,4
7468,3
7479,27
7492,13
7493,9
7507,3
7521,3
7522,4
7538,2
7539,9
7542,21
7544,14
7548,12
7549,4
7553,32
7554,9
7556,6
7557,7
7559,7
7560,5
7562,3
7564,1
7565,6
7566,31
7567,4
7568,9
7570,4
7571,2
7572,2
7579,1
7596,2
7619,7
7637,6
7640,35
7641,29
7642,56
7644,11
7653,3
7661,7
7666,8
7667,12
7671,14
7679,4
7688,16
7710,2
7737,13
7741,14
7742,3
7743,5
7744,4
7747,4
7754,21
7768,7
7772,18
7777,2
7779,2
7784,2
7788,32
7810,8
7832,6
7836,77
7837,58
7851,3
7853,7
7855,6
7857,4
7861,2
7865,23
7866,9
7868,3
7872,6
7878,11
7880,17
7886,6
7889,14
7890,7
7909,3
7910,11
7911,13
7936,4
7937,2
7951,11
7953,17
7954,3
7955,13
7961,3
7965,7
7970,4
7973,8
7977,7
7982,6
7986,2
7988,43
7989,17
7991,18
7994,39
8006,8
8010,8
8034,5
8050,5
8051,6
8054,4
8055,29
8056,7
8066,2
8067,17
8068,2
8073,7
8074,4
8077,14
8078,11
8080,13
8085,23
8086,9
8088,3
8089,6
8092,36
8093,17
8094,12
8108,5
8114,6
8120,15
8121,2
8122,7
8130,3
8134,9
8135,8
8139,5
8149,14
8150,18
8151,19
8153,4
8154,5
8155,6
8157,2
8161,5
8169,3
8175,7
8176,3
8181,4
8185,4
8187,2
8188,2
8189,17
8191,18
8194,7
8208,4
8209,3
8211,4
8213,9
8233,9
8236,7
8240,1
8243,2
8245,3
8246,4
8250,21
8251,4
8261,4
8270,5
8271,3
8273,3
8274,8
8275,1
8288,5
8291,18
8294,4
8332,4
8341,7
8343,1
8344,3
8345,3
8358,2
8360,2
8362,26
8363,9
8371,13
8372,17
8374,7
8375,6
8376,3
8377,21
8404,6
8405,12
8406,3
8413,2
8414,14
8432,1
8441,3
8444,9
8469,14
8471,5
8472,59
8473,6
8476,2
8477,7
8481,6
8482,2
8488,9
8490,2
8516,2
8532,5
8541,13
8542,3
8560,2
8562,2
8571,2
8572,14
8576,26
8601,4
8605,11
8606,4
8630,19
8632,24
8637,6
8649,2
8652,4
8653,7
8654,28
8655,4
8662,3
8670,23
8672,11
8673,2
8674,5
8675,18
8676,2
8692,9
8732,2
8752,11
8756,23
8770,46
8771,6
8772,15
8774,6
8776,7
8789,5
8792,2
8818,2
8824,4
8840,4
8860,3
8871,5
8873,5
8874,2
8876,3
8877,11
8887,3
8892,7
8901,28
8902,5
8922,4
8925,2
8926,5
8941,25
8950,44
8957,32
8960,5
8971,11
8973,8
8975,3
8976,5
8977,11
9007,2
9056,13
9058,7
9072,6
9075,3
9085,3
9086,6
9102,11
9111,2
9121,4
9123,9
9126,4
9155,9
9157,3
9158,19
9159,7
9164,3
9168,4
9169,8
9171,8
9175,4
9185,2
9186,9
9204,9
9219,3
9222,2
9223,6
9225,4
9226,3
9243,11
9251,4
9255,6
9265,15
9267,3
9268,13
9271,9
9273,1
9276,5
9283,2
9302,2
9343,16
9364,13
9370,1
9371,29
9372,21
9374,3
9376,12
9406,8
9421,12
9429,7
9443,5
9445,32
9455,1
9461,5
9464,7
9472,16
9475,9
9481,12
9510,28
9543,7
9571,3
9642,9
9644,11
9650,13
9652,3
9658,2
9666,6
9668,12
9706,7
9722,3
9723,4
9747,2
9768,3
9805,4
9820,2
9821,2
9845,9
9855,7
9865,2
9866,1
9867,15
9868,2
9870,4
9919,3
9921,5
9922,2
9957,4
9965,5
9968,5
9970,7
