date,avgspeed,id,cars
2013-12-01 03,17.0,3653,1
2013-12-01 03,66.0,3683,1
2013-12-01 03,31.0,3725,1
2013-12-01 03,0.0,3753,1
2013-12-01 03,0.0,3762,1
2013-12-01 03,0.0,3764,1
2013-12-01 03,0.0,3778,1
2013-12-01 03,54.0,3851,1
2013-12-01 03,49.0,3853,1
2013-12-01 03,25.0,3855,2
2013-12-01 03,0.0,3860,0
2013-12-01 03,0.0,3861,1
2013-12-01 03,42.0,3863,1
2013-12-01 03,20.0,3865,1
2013-12-01 03,97.0,3882,1
2013-12-01 03,4.0,3926,1
2013-12-01 03,15.0,3963,1
2013-12-01 03,0.0,3966,1
2013-12-01 03,42.0,3972,1
2013-12-01 03,0.0,3973,0
2013-12-01 03,0.0,4043,0
2013-12-01 03,0.0,4060,1
2013-12-01 03,0.0,4062,1
2013-12-01 03,62.0,4069,1
2013-12-01 03,41.0,4070,2
2013-12-01 03,91.0,4121,1
2013-12-01 03,0.0,4130,0
2013-12-01 03,0.0,4140,0
2013-12-01 03,52.0,4153,1
2013-12-01 03,0.0,4154,1
2013-12-01 03,23.0,4156,1
2013-12-01 03,75.0,4157,1
2013-12-01 03,17.0,4158,2
2013-12-01 03,0.0,4162,10
2013-12-01 03,0.0,4178,0
2013-12-01 03,0.0,4232,9
2013-12-01 03,52.0,4242,1
2013-12-01 03,47.0,4262,1
2013-12-01 03,26.0,4263,1
2013-12-01 03,0.0,4278,4
2013-12-01 03,113.0,4283,1
2013-12-01 03,54.0,4340,1
2013-12-01 03,47.0,4341,1
2013-12-01 03,47.0,4345,1
2013-12-01 03,29.0,4366,1
2013-12-01 03,99.0,4422,1
2013-12-01 03,55.0,4443,1
2013-12-01 03,26.0,4448,1
2013-12-01 03,5.0,4470,1
2013-12-01 03,86.0,4522,1
2013-12-01 03,38.0,4544,1
2013-12-01 03,0.0,4557,0
2013-12-01 03,21.0,4558,1
2013-12-01 03,42.0,4563,1
2013-12-01 03,63.0,4568,1
2013-12-01 03,39.0,4571,1
2013-12-01 03,0.0,4636,7
2013-12-01 03,14.0,4648,2
2013-12-01 03,75.0,4671,1
2013-12-01 03,86.0,4724,1
2013-12-01 03,0.0,4737,1
2013-12-01 03,20.0,4747,1
2013-12-01 03,47.0,4760,1
2013-12-01 03,54.0,4765,1
2013-12-01 03,91.0,4822,1
2013-12-01 03,33.0,4840,1
2013-12-01 03,0.0,4856,1
2013-12-01 03,36.0,4857,1
2013-12-01 03,23.0,4864,1
2013-12-01 03,33.0,4869,1
2013-12-01 03,0.0,4876,2
2013-12-01 03,144.0,4922,1
2013-12-01 03,2.0,4936,1
2013-12-01 03,60.0,4943,1
2013-12-01 03,0.0,4958,1
2013-12-01 03,36.0,4965,1
2013-12-01 03,15.0,4971,1
2013-12-01 03,46.0,4975,1
2013-12-01 03,0.0,4979,1
2013-12-01 03,0.0,5026,1
2013-12-01 03,17.0,5039,1
2013-12-01 03,57.0,5055,1
2013-12-01 03,20.0,5063,1
2013-12-01 03,0.0,5064,1
2013-12-01 03,29.0,5065,1
2013-12-01 03,63.0,5071,1
2013-12-01 03,44.0,5081,2
2013-12-01 03,17.0,5147,1
2013-12-01 03,0.0,5157,1
2013-12-01 03,86.0,5181,1
2013-12-01 03,105.0,5222,2
2013-12-01 03,0.0,5257,1
2013-12-01 03,7.0,5268,1
2013-12-01 03,20.0,5290,1
2013-12-01 03,34.0,5318,1
2013-12-01 03,49.0,5353,1
2013-12-01 03,47.0,5365,1
2013-12-01 03,5.0,5369,2
2013-12-01 03,41.0,5418,1
2013-12-01 03,12.0,5454,3
2013-12-01 03,0.0,5554,0
2013-12-01 03,49.0,5562,1
2013-12-01 03,0.0,5565,1
2013-12-01 03,41.0,5569,1
2013-12-01 03,42.0,5650,1
2013-12-01 03,31.0,5669,2
2013-12-01 03,99.0,5821,1
2013-12-01 03,29.0,5844,1
2013-12-01 03,0.0,5854,1
2013-12-01 03,21.0,5865,1
2013-12-01 03,42.0,5866,1
2013-12-01 03,161.0,5920,1
2013-12-01 03,0.0,5958,1
2013-12-01 03,39.0,5966,1
2013-12-01 03,12.0,5967,1
2013-12-01 03,0.0,5969,0
2013-12-01 03,0.0,5988,3
2013-12-01 03,36.0,6057,1
2013-12-01 03,28.0,6067,1
2013-12-01 03,36.0,6069,1
2013-12-01 03,63.0,6140,1
2013-12-01 03,55.0,6144,1
2013-12-01 03,9.0,6145,1
2013-12-01 03,4.0,6169,2
2013-12-01 03,118.0,6180,1
2013-12-01 03,0.0,6207,1
2013-12-01 03,83.0,6219,1
2013-12-01 03,0.0,6273,1
2013-12-01 03,42.0,6280,1
2013-12-01 03,70.0,6310,1
2013-12-01 03,1.0,6347,4
2013-12-01 03,17.0,6348,1
2013-12-01 03,0.0,6357,0
2013-12-01 03,0.0,6358,1
2013-12-01 03,12.0,6359,1
2013-12-01 03,34.0,6371,1
2013-12-01 03,73.0,6441,1
2013-12-01 03,46.0,6444,1
2013-12-01 03,44.0,6445,1
2013-12-01 03,21.0,6457,1
2013-12-01 03,0.0,6458,0
2013-12-01 03,36.0,6561,1
2013-12-01 03,38.0,6562,3
2013-12-01 03,5.0,6642,3
2013-12-01 03,4.0,6645,0
2013-12-01 03,39.0,6659,1
2013-12-01 03,52.0,6660,1
2013-12-01 03,54.0,6662,1
2013-12-01 03,54.0,6703,1
2013-12-01 03,0.0,6705,1
2013-12-01 03,108.0,6740,1
2013-12-01 03,83.0,6819,2
2013-12-01 03,110.0,6882,1
2013-12-01 03,0.0,6892,0
2013-12-01 03,70.0,6940,1
2013-12-01 03,46.0,6943,1
2013-12-01 03,58.0,6944,1
2013-12-01 03,83.0,6982,1
2013-12-01 03,44.0,7030,1
2013-12-01 03,0.0,7043,1
2013-12-01 03,0.0,7057,1
2013-12-01 03,21.0,7067,1
2013-12-01 03,36.0,7104,1
2013-12-01 03,41.0,7107,1
2013-12-01 03,41.0,7143,1
2013-12-01 03,46.0,7163,1
2013-12-01 03,0.0,7164,1
2013-12-01 03,52.0,7205,1
2013-12-01 03,44.0,7225,1
2013-12-01 03,36.0,7254,1
2013-12-01 03,38.0,7265,1
2013-12-01 03,5.0,7268,3
2013-12-01 03,39.0,7307,1
2013-12-01 03,31.0,7355,1
2013-12-01 03,0.0,7372,1
2013-12-01 03,29.0,7383,1
2013-12-01 03,78.0,7384,1
2013-12-01 03,31.0,7407,1
2013-12-01 03,94.0,7418,1
2013-12-01 03,141.0,7423,1
2013-12-01 03,81.0,7433,1
2013-12-01 03,115.0,7438,1
2013-12-01 03,63.0,7456,1
2013-12-01 03,0.0,7462,14
2013-12-01 03,118.0,7517,1
2013-12-01 03,57.0,7537,1
2013-12-01 03,47.0,7585,1
2013-12-01 03,0.0,7753,1
2013-12-01 03,91.0,7817,1
2013-12-01 03,0.0,7850,3
2013-12-01 03,83.0,7854,1
2013-12-01 03,97.0,7916,1
2013-12-01 03,36.0,7917,1
2013-12-01 03,55.0,7918,1
2013-12-01 03,70.0,7927,1
2013-12-01 03,58.0,7935,1
2013-12-01 03,0.0,7943,1
2013-12-01 03,0.0,7952,1
2013-12-01 03,55.0,7955,1
2013-12-01 03,75.0,7983,2
2013-12-01 03,0.0,7991,1
2013-12-01 03,0.0,8016,1
2013-12-01 03,62.0,8067,1
2013-12-01 03,42.0,8082,1
2013-12-01 03,166.0,8146,1
2013-12-01 03,89.0,8214,1
2013-12-01 03,84.0,8248,1
2013-12-01 03,75.0,8251,1
2013-12-01 03,0.0,8368,2
2013-12-01 03,73.0,8469,1
2013-12-01 03,2.0,8472,1
2013-12-01 03,41.0,8578,1
2013-12-01 03,13.0,8611,1
2013-12-01 03,70.0,8640,1
2013-12-01 03,44.0,8671,1
2013-12-01 03,39.0,8675,1
2013-12-01 03,86.0,8850,1
2013-12-01 03,46.0,8870,1
2013-12-01 03,31.0,8873,1
2013-12-01 03,0.0,8875,1
2013-12-01 03,0.0,8877,0
2013-12-01 03,57.0,8911,1
2013-12-01 03,1.0,8950,2
2013-12-01 03,49.0,9013,1
2013-12-01 03,0.0,9017,1
2013-12-01 03,31.0,9019,1
2013-12-01 03,81.0,9063,1
2013-12-01 03,78.0,9068,1
2013-12-01 03,39.0,9073,1
2013-12-01 03,66.0,9075,1
2013-12-01 03,54.0,9113,1
2013-12-01 03,54.0,9116,1
2013-12-01 03,0.0,9164,0
2013-12-01 03,46.0,9180,1
2013-12-01 03,52.0,9182,1
2013-12-01 03,15.0,9248,1
2013-12-01 03,91.0,9275,1
2013-12-01 03,86.0,9276,1
2013-12-01 03,44.0,9280,1
2013-12-01 03,115.0,9313,1
2013-12-01 03,44.0,9314,1
2013-12-01 03,42.0,9319,1
2013-12-01 03,52.0,9378,1
2013-12-01 03,87.0,9383,1
2013-12-01 03,0.0,9445,0
2013-12-01 03,67.0,9452,2
2013-12-01 03,39.0,9474,1
2013-12-01 03,28.0,9547,1
2013-12-01 03,46.0,9577,1
2013-12-01 03,28.0,9614,1
2013-12-01 03,26.0,9624,1
2013-12-01 03,75.0,9677,1
2013-12-01 03,12.0,9747,1
2013-12-01 03,58.0,9759,1
2013-12-01 03,47.0,9824,1
2013-12-01 03,92.0,9874,1
