id,speed,cars
1228,78.0,4
1241,73.0,10
1242,104.0,23
1245,68.0,45
1247,21.0,16
1248,28.0,55
1249,35.0,25
1250,40.0,23
1251,42.0,27
1252,54.0,15
1253,42.0,49
1254,51.0,9
1255,47.0,30
1256,51.0,6
1260,30.0,3
1266,57.0,3
1267,33.0,2
1268,41.0,38
1269,81.0,22
1270,85.0,19
1277,100.0,52
1278,100.0,39
1279,93.0,49
1280,90.0,65
1281,92.0,55
1282,94.0,48
1283,97.0,78
1284,85.0,66
1285,69.0,101
1286,73.0,39
1287,102.0,18
1289,54.0,2
1290,69.0,6
1291,61.0,3
1296,62.0,28
1297,39.0,1
1298,33.0,13
1299,64.0,2
1306,54.0,2
1307,1.0,9
1309,64.0,3
1327,49.0,4
1328,55.0,1
1341,67.0,4
1342,94.0,15
1345,60.0,57
1346,39.0,15
1347,34.0,33
1348,32.0,48
1349,30.0,12
1350,34.0,12
1351,50.0,2
1353,104.0,20
1354,57.0,80
1355,38.0,12
1356,42.0,2
1357,47.0,1
1358,50.0,1
1359,46.0,2
1360,71.0,2
1361,66.0,2
1363,84.0,1
1364,49.0,1
1365,70.0,1
1368,75.0,50
1369,56.0,6
1373,85.0,2
1374,98.0,63
1375,98.0,58
1376,99.0,60
1377,102.0,16
1382,3.0,2
1383,26.0,1
1384,24.0,2
1385,48.0,10
1386,80.0,75
1387,56.0,6
1388,71.0,2
1391,44.0,1
1392,59.0,5
1395,70.0,20
1396,56.0,6
1397,38.0,5
1398,41.0,5
1399,32.0,8
1406,73.0,1
1427,103.0,2
1441,72.0,3
1442,80.0,12
1443,64.0,16
1445,36.0,4
1446,42.0,82
1447,28.0,30
1448,22.0,20
1449,43.0,33
1450,54.0,11
1451,103.0,52
1452,101.0,53
1453,102.0,41
1454,82.0,89
1455,74.0,147
1456,90.0,80
1457,48.0,16
1463,68.0,1
1464,29.0,2
1468,74.0,40
1471,95.0,43
1472,100.0,53
1473,98.0,57
1474,96.0,6
1483,38.0,11
1484,42.0,20
1485,87.0,83
1486,86.0,21
1492,58.0,3
1493,49.0,3
1494,72.0,17
1495,71.0,8
1496,13.0,7
1497,26.0,12
1499,25.0,1
1500,9.0,1
1506,64.0,3
1527,63.0,2
1541,67.0,7
1543,36.0,57
1546,42.0,94
1547,20.0,2
1548,92.0,7
1549,92.0,78
1550,100.0,51
1551,106.0,2
1553,35.0,33
1554,42.0,136
1555,38.0,9
1556,44.0,53
1557,74.0,86
1558,100.0,50
1559,102.0,17
1567,70.0,55
1568,85.0,77
1569,98.0,62
1570,98.0,63
1571,103.0,11
1583,47.0,13
1584,97.0,61
1585,95.0,32
1591,26.0,1
1592,18.0,1
1593,63.0,17
1594,65.0,16
1595,11.0,4
1596,32.0,15
1597,31.0,11
1598,9.0,1
1599,23.0,10
1600,2.0,1
1607,64.0,5
1608,66.0,5
1623,22.0,2
1626,62.0,3
1641,76.0,3
1643,72.0,20
1646,65.0,42
1647,61.0,234
1648,96.0,67
1649,54.0,22
1650,58.0,1
1651,47.0,17
1652,45.0,22
1653,37.0,13
1654,49.0,44
1655,22.0,43
1656,21.0,16
1659,97.0,37
1660,94.0,65
1661,102.0,75
1662,99.0,62
1663,102.0,48
1664,104.0,56
1665,96.0,52
1666,97.0,63
1667,84.0,106
1668,47.0,10
1678,29.0,1
1679,53.0,3
1681,39.0,1
1682,32.0,18
1683,38.0,73
1684,94.0,74
1692,29.0,26
1693,49.0,44
1694,35.0,18
1695,27.0,37
1696,56.0,8
1698,60.0,2
1699,51.0,4
1708,83.0,2
1724,18.0,1
1725,44.0,4
1741,75.0,5
1743,60.0,15
1744,64.0,32
1745,85.0,77
1746,89.0,81
1747,59.0,81
1748,56.0,15
1749,37.0,48
1750,57.0,19
1751,44.0,7
1752,31.0,9
1753,18.0,16
1754,47.0,43
1755,40.0,4
1756,40.0,8
1767,58.0,38
1768,9.0,6
1778,34.0,1
1779,15.0,1
1780,15.0,1
1782,48.0,10
1783,84.0,67
1784,62.0,52
1785,28.0,23
1791,44.0,10
1792,31.0,52
1793,26.0,14
1794,30.0,16
1797,61.0,5
1807,79.0,1
1809,95.0,1
1825,52.0,4
1841,74.0,5
1842,93.0,6
1843,78.0,74
1844,79.0,129
1845,71.0,7
1846,52.0,16
1847,34.0,119
1848,50.0,34
1849,28.0,11
1850,38.0,11
1852,30.0,10
1853,43.0,2
1854,47.0,50
1855,19.0,2
1867,47.0,49
1868,11.0,17
1877,18.0,6
1878,12.0,8
1879,44.0,1
1881,47.0,2
1882,56.0,6
1883,94.0,67
1884,44.0,15
1885,29.0,5
1886,25.0,4
1887,10.0,4
1890,17.0,3
1891,30.0,55
1892,17.0,27
1893,18.0,22
1894,25.0,3
1895,55.0,1
1896,55.0,3
1907,75.0,1
1909,73.0,2
1924,69.0,3
1939,90.0,6
1940,103.0,70
1941,97.0,84
1942,100.0,78
1943,63.0,5
1944,79.0,55
1945,53.0,24
1946,51.0,5
1948,64.0,38
1949,17.0,4
1950,41.0,8
1951,15.0,1
1952,20.0,3
1953,50.0,3
1954,48.0,39
1955,60.0,4
1965,13.0,10
1967,68.0,41
1976,2.0,1
1977,36.0,3
1978,37.0,5
1980,16.0,18
1981,33.0,18
1983,89.0,58
1984,32.0,41
1985,40.0,6
1986,5.0,2
1990,42.0,39
1991,22.0,43
1992,21.0,22
1993,22.0,19
1994,24.0,6
1995,52.0,2
2009,71.0,2
2023,80.0,3
2024,70.0,4
2038,100.0,66
2039,97.0,78
2040,66.0,6
2041,47.0,8
2044,78.0,31
2045,57.0,58
2046,44.0,1
2048,63.0,41
2050,12.0,18
2054,69.0,9
2055,69.0,24
2065,31.0,3
2066,63.0,24
2067,63.0,17
2074,17.0,13
2078,45.0,2
2079,40.0,5
2081,49.0,1
2082,42.0,11
2083,97.0,47
2084,104.0,36
2085,34.0,36
2086,7.0,45
2087,17.0,1
2089,53.0,11
2090,27.0,24
2091,20.0,20
2092,23.0,5
2093,47.0,4
2094,43.0,7
2095,54.0,2
2096,35.0,5
2097,38.0,1
2098,76.0,1
2107,57.0,2
2108,2.0,1
2109,79.0,3
2110,79.0,8
2111,83.0,1
2122,63.0,1
2123,76.0,1
2136,81.0,2
2137,95.0,74
2138,92.0,17
2139,24.0,3
2140,41.0,44
2141,37.0,7
2143,8.0,13
2144,29.0,22
2145,62.0,98
2146,37.0,61
2148,74.0,8
2149,64.0,23
2155,48.0,58
2166,64.0,52
2173,49.0,2
2174,39.0,2
2178,47.0,6
2180,46.0,6
2181,43.0,9
2183,73.0,1
2184,100.0,80
2185,45.0,10
2186,12.0,3
2187,15.0,4
2188,44.0,3
2189,26.0,80
2190,17.0,46
2191,22.0,8
2192,21.0,3
2193,44.0,4
2194,16.0,3
2195,16.0,3
2196,34.0,3
2198,49.0,1
2199,44.0,2
2200,23.0,2
2201,73.0,15
2202,77.0,6
2207,46.0,1
2208,23.0,5
2209,27.0,3
2211,79.0,1
2212,70.0,1
2222,80.0,7
2235,103.0,27
2236,101.0,75
2237,78.0,1
2239,50.0,19
2240,41.0,16
2241,38.0,48
2242,38.0,56
2243,41.0,56
2244,41.0,55
2245,81.0,57
2246,44.0,43
2248,28.0,8
2249,63.0,31
2253,14.0,6
2254,29.0,9
2255,64.0,24
2266,57.0,45
2267,58.0,2
2273,41.0,8
2278,44.0,6
2279,47.0,14
2280,39.0,1
2284,95.0,69
2285,41.0,3
2286,17.0,9
2287,11.0,5
2288,47.0,45
2289,20.0,1
2290,30.0,12
2291,37.0,8
2292,57.0,4
2294,33.0,3
2295,32.0,2
2301,63.0,1
2302,82.0,22
2303,77.0,23
2304,70.0,35
2305,72.0,29
2306,58.0,9
2307,25.0,10
2308,33.0,14
2309,45.0,8
2310,25.0,5
2312,56.0,4
2330,33.0,1
2334,101.0,39
2335,105.0,72
2336,65.0,3
2337,15.0,1
2339,51.0,32
2340,17.0,14
2341,12.0,92
2342,29.0,36
2344,29.0,1
2345,51.0,37
2346,69.0,90
2347,21.0,149
2348,19.0,7
2349,65.0,24
2350,23.0,1
2353,34.0,7
2354,7.0,6
2355,55.0,21
2365,57.0,1
2366,64.0,39
2367,49.0,1
2368,67.0,6
2369,63.0,3
2372,50.0,5
2373,39.0,7
2374,56.0,5
2375,52.0,5
2377,46.0,13
2378,39.0,28
2384,87.0,103
2385,34.0,13
2386,24.0,3
2387,45.0,29
2388,46.0,16
2391,24.0,10
2392,49.0,7
2393,62.0,1
2394,54.0,2
2405,79.0,8
2406,70.0,26
2410,29.0,6
2411,56.0,2
2412,46.0,5
2421,68.0,3
2422,60.0,1
2428,55.0,3
2429,47.0,4
2430,54.0,6
2433,101.0,71
2434,106.0,54
2436,47.0,10
2437,13.0,195
2438,29.0,14
2439,33.0,46
2440,24.0,22
2441,46.0,2
2442,38.0,16
2443,36.0,3
2446,82.0,61
2447,29.0,1
2448,20.0,2
2450,68.0,43
2453,34.0,3
2455,63.0,34
2466,72.0,31
2469,62.0,1
2470,55.0,6
2471,48.0,5
2472,64.0,4
2476,44.0,26
2477,40.0,11
2478,65.0,2
2483,95.0,56
2484,74.0,37
2485,27.0,3
2486,30.0,25
2487,60.0,18
2488,25.0,1
2489,3.0,2
2492,51.0,5
2493,35.0,16
2506,69.0,11
2507,65.0,32
2508,67.0,16
2511,64.0,5
2512,53.0,15
2513,66.0,9
2514,42.0,1
2521,71.0,2
2526,36.0,2
2527,31.0,9
2528,48.0,7
2530,83.0,3
2531,101.0,19
2532,102.0,76
2533,106.0,23
2535,46.0,4
2536,38.0,12
2537,38.0,1
2539,49.0,31
2540,39.0,4
2541,38.0,27
2542,37.0,9
2543,36.0,1
2544,31.0,1
2546,88.0,10
2547,91.0,29
2548,50.0,1
2550,71.0,35
2554,38.0,3
2555,51.0,39
2566,65.0,42
2571,38.0,6
2572,63.0,3
2577,47.0,8
2578,40.0,6
2579,58.0,7
2582,96.0,39
2583,101.0,54
2584,73.0,20
2585,46.0,11
2586,39.0,70
2587,34.0,19
2588,22.0,2
2589,16.0,4
2591,48.0,12
2592,54.0,11
2606,62.0,2
2608,74.0,18
2609,58.0,38
2610,65.0,7
2611,45.0,2
2614,54.0,6
2615,81.0,9
2621,71.0,1
2626,50.0,19
2627,23.0,4
2628,60.0,2
2629,102.0,57
2630,97.0,76
2631,94.0,42
2632,38.0,4
2633,7.0,1
2634,40.0,2
2635,30.0,2
2636,43.0,9
2637,7.0,1
2639,40.0,39
2640,36.0,7
2641,24.0,11
2642,2.0,1
2645,33.0,2
2647,98.0,46
2650,80.0,9
2651,52.0,26
2652,25.0,4
2653,19.0,4
2654,29.0,21
2655,67.0,33
2665,54.0,34
2666,60.0,10
2672,58.0,1
2673,51.0,6
2677,53.0,9
2679,49.0,1
2680,50.0,9
2681,97.0,26
2682,99.0,62
2683,42.0,12
2684,55.0,42
2685,43.0,47
2686,26.0,8
2688,42.0,24
2689,33.0,9
2690,44.0,16
2691,40.0,4
2704,91.0,3
2705,81.0,6
2710,78.0,23
2711,62.0,27
2712,43.0,6
2713,40.0,4
2714,30.0,2
2715,13.0,6
2716,68.0,10
2717,70.0,7
2718,66.0,2
2720,11.0,4
2721,53.0,6
2724,42.0,1
2726,79.0,40
2727,97.0,89
2728,102.0,91
2729,97.0,13
2731,53.0,7
2732,19.0,2
2733,41.0,6
2734,2.0,1
2735,44.0,7
2736,42.0,4
2737,36.0,5
2738,40.0,47
2739,39.0,22
2740,23.0,15
2746,33.0,1
2747,97.0,27
2748,100.0,23
2750,49.0,2
2751,52.0,56
2752,10.0,37
2753,33.0,16
2754,31.0,11
2755,46.0,51
2756,65.0,2
2758,44.0,2
2759,52.0,1
2765,53.0,45
2766,29.0,1
2774,46.0,9
2775,54.0,2
2777,31.0,22
2780,97.0,30
2781,98.0,55
2782,66.0,2
2783,64.0,39
2784,49.0,40
2785,35.0,14
2786,48.0,2
2788,30.0,6
2789,36.0,33
2790,47.0,7
2801,14.0,3
2803,81.0,2
2804,80.0,7
2812,48.0,32
2813,75.0,25
2814,21.0,13
2815,27.0,29
2817,2.0,1
2818,32.0,18
2819,35.0,17
2820,34.0,38
2821,20.0,14
2822,14.0,10
2823,63.0,1
2824,54.0,2
2825,90.0,78
2826,103.0,47
2829,29.0,2
2830,46.0,1
2831,37.0,10
2832,40.0,6
2833,41.0,10
2834,20.0,8
2835,54.0,8
2836,10.0,4
2837,45.0,10
2838,51.0,19
2839,33.0,1
2840,22.0,8
2848,94.0,52
2851,55.0,36
2852,47.0,22
2853,36.0,15
2855,64.0,28
2856,15.0,18
2857,14.0,5
2859,57.0,1
2865,58.0,35
2875,31.0,8
2876,26.0,16
2877,31.0,15
2879,97.0,29
2880,104.0,54
2881,65.0,1
2882,73.0,65
2883,68.0,4
2884,34.0,11
2885,25.0,21
2886,41.0,10
2887,32.0,14
2890,36.0,43
2901,18.0,2
2902,32.0,9
2903,69.0,2
2907,63.0,1
2913,91.0,3
2914,40.0,89
2915,38.0,58
2916,35.0,26
2917,45.0,10
2918,2.0,1
2919,43.0,4
2920,31.0,31
2921,39.0,42
2922,38.0,3
2923,35.0,4
2924,83.0,115
2925,104.0,15
2929,16.0,3
2931,39.0,15
2932,29.0,11
2933,37.0,20
2934,43.0,10
2935,40.0,36
2936,14.0,5
2937,43.0,38
2938,39.0,7
2939,23.0,17
2948,93.0,21
2949,74.0,40
2950,41.0,3
2952,63.0,41
2955,40.0,41
2956,17.0,11
2961,37.0,2
2962,40.0,2
2963,38.0,2
2964,36.0,2
2965,61.0,47
2976,32.0,31
2979,101.0,69
2981,76.0,47
2982,58.0,4
2983,39.0,26
2984,34.0,5
2986,11.0,8
2987,50.0,6
2988,35.0,6
2989,61.0,9
2990,17.0,5
2991,46.0,20
3001,67.0,6
3014,47.0,1
3015,46.0,22
3016,63.0,36
3017,53.0,29
3018,38.0,22
3019,28.0,19
3020,32.0,7
3021,56.0,4
3022,57.0,9
3023,65.0,54
3024,77.0,84
3029,26.0,2
3030,41.0,4
3031,37.0,16
3032,40.0,2
3033,27.0,2
3034,41.0,7
3035,42.0,2
3036,35.0,24
3037,27.0,70
3038,22.0,13
3039,36.0,26
3040,14.0,3
3049,96.0,68
3050,83.0,8
3052,64.0,48
3055,59.0,25
3056,49.0,24
3063,70.0,14
3064,33.0,100
3065,38.0,35
3075,55.0,4
3076,38.0,21
3078,94.0,12
3079,101.0,75
3080,74.0,25
3081,59.0,30
3082,31.0,12
3083,29.0,6
3084,25.0,5
3086,8.0,3
3087,48.0,2
3088,33.0,14
3089,25.0,2
3090,67.0,7
3091,35.0,43
3099,91.0,1
3101,68.0,1
3113,62.0,3
3114,51.0,5
3115,36.0,1
3116,23.0,6
3117,31.0,41
3118,45.0,89
3119,49.0,43
3120,29.0,8
3121,39.0,8
3123,80.0,114
3124,52.0,19
3129,15.0,1
3130,12.0,1
3131,33.0,4
3132,42.0,12
3133,39.0,3
3134,29.0,17
3135,37.0,4
3136,28.0,22
3137,44.0,30
3138,26.0,36
3139,29.0,17
3140,7.0,11
3149,21.0,13
3150,91.0,63
3152,59.0,21
3153,64.0,22
3155,4.0,5
3156,40.0,64
3157,6.0,9
3162,73.0,3
3163,63.0,22
3164,56.0,3
3165,50.0,27
3174,68.0,5
3175,67.0,7
3176,68.0,3
3178,97.0,43
3179,61.0,22
3180,62.0,57
3181,39.0,42
3182,40.0,23
3184,23.0,3
3185,31.0,4
3186,50.0,4
3187,57.0,3
3188,71.0,22
3189,80.0,57
3190,69.0,52
3191,52.0,95
3192,77.0,53
3193,71.0,79
3194,77.0,33
3198,5.0,1
3200,73.0,4
3213,46.0,2
3214,43.0,6
3215,22.0,7
3216,24.0,8
3217,20.0,18
3218,38.0,31
3219,47.0,54
3220,56.0,83
3221,45.0,38
3222,67.0,7
3223,91.0,94
3224,45.0,3
3225,66.0,17
3226,68.0,26
3227,73.0,12
3229,16.0,28
3230,26.0,5
3231,28.0,3
3232,52.0,7
3233,10.0,1
3234,31.0,17
3235,24.0,6
3236,29.0,23
3237,34.0,5
3238,34.0,54
3239,42.0,10
3248,21.0,2
3249,37.0,17
3250,87.0,43
3251,36.0,9
3252,21.0,15
3253,38.0,72
3254,23.0,33
3255,36.0,11
3256,45.0,72
3262,81.0,25
3263,28.0,5
3264,38.0,30
3265,34.0,24
3266,22.0,12
3267,9.0,34
3273,68.0,3
3274,71.0,9
3277,74.0,2
3278,79.0,90
3279,66.0,91
3280,48.0,12
3281,39.0,7
3282,25.0,1
3283,35.0,4
3284,40.0,14
3285,38.0,10
3287,90.0,5
3288,86.0,53
3289,50.0,1
3290,54.0,10
3293,39.0,5
3294,72.0,22
3295,74.0,58
3296,89.0,43
3297,80.0,50
3298,78.0,16
3299,20.0,7
3300,47.0,7
3305,60.0,1
3312,5.0,1
3313,25.0,18
3314,26.0,13
3315,32.0,8
3316,35.0,9
3317,21.0,9
3318,38.0,28
3319,35.0,42
3320,34.0,77
3321,30.0,220
3322,69.0,176
3323,63.0,21
3324,32.0,4
3327,57.0,13
3328,53.0,22
3329,49.0,27
3330,38.0,13
3331,28.0,45
3332,30.0,28
3333,31.0,31
3334,35.0,9
3335,30.0,8
3336,29.0,7
3337,27.0,2
3338,47.0,14
3339,45.0,29
3347,28.0,16
3348,27.0,8
3349,53.0,2
3350,47.0,23
3351,92.0,32
3352,72.0,2
3353,35.0,92
3354,45.0,43
3355,33.0,24
3356,33.0,82
3357,24.0,3
3358,29.0,1
3362,83.0,21
3363,18.0,1
3364,54.0,21
3365,38.0,6
3366,42.0,12
3367,18.0,19
3373,65.0,14
3377,78.0,3
3378,73.0,90
3379,78.0,133
3380,31.0,20
3383,15.0,3
3384,26.0,15
3385,40.0,5
3386,42.0,3
3387,80.0,62
3388,66.0,1
3389,54.0,6
3390,12.0,1
3391,53.0,5
3392,30.0,19
3393,33.0,18
3394,62.0,1
3395,28.0,10
3396,53.0,2
3397,23.0,2
3398,69.0,35
3399,70.0,69
3400,65.0,66
3413,23.0,24
3414,20.0,26
3415,37.0,48
3416,26.0,33
3417,46.0,26
3418,24.0,6
3419,31.0,65
3420,40.0,79
3422,85.0,98
3423,49.0,82
3424,55.0,71
3425,48.0,2
3427,13.0,1
3429,38.0,1
3430,50.0,15
3431,34.0,80
3432,45.0,24
3433,25.0,12
3434,29.0,18
3435,30.0,38
3436,37.0,10
3437,35.0,19
3438,38.0,8
3439,52.0,43
3445,17.0,1
3446,32.0,2
3447,29.0,21
3448,32.0,5
3449,34.0,11
3450,37.0,16
3451,89.0,63
3452,43.0,28
3453,16.0,15
3454,44.0,91
3455,33.0,19
3456,36.0,85
3457,46.0,2
3458,19.0,10
3459,34.0,4
3461,71.0,2
3462,73.0,24
3463,9.0,33
3464,33.0,55
3465,31.0,18
3466,24.0,52
3468,23.0,10
3472,42.0,18
3473,64.0,2
3477,64.0,7
3478,58.0,134
3479,73.0,137
3480,90.0,74
3482,23.0,7
3483,19.0,11
3484,14.0,11
3485,11.0,6
3486,71.0,60
3487,60.0,17
3489,61.0,10
3492,38.0,1
3493,37.0,13
3495,5.0,1
3496,53.0,2
3497,17.0,3
3498,18.0,18
3499,22.0,11
3500,33.0,13
3513,33.0,8
3514,40.0,26
3516,22.0,5
3517,29.0,21
3518,41.0,6
3519,33.0,29
3520,41.0,4
3521,103.0,10
3522,101.0,68
3524,33.0,22
3525,46.0,77
3526,44.0,78
3527,41.0,1
3529,35.0,2
3530,28.0,2
3531,13.0,3
3532,43.0,30
3533,26.0,5
3534,4.0,1
3535,23.0,31
3536,13.0,29
3537,34.0,7
3538,57.0,23
3539,36.0,24
3546,36.0,18
3547,21.0,32
3548,36.0,14
3549,49.0,3
3550,42.0,10
3551,54.0,5
3552,78.0,67
3553,23.0,43
3554,47.0,71
3555,23.0,4
3556,29.0,69
3557,46.0,62
3558,19.0,12
3559,24.0,10
3560,32.0,2
3561,65.0,27
3563,25.0,14
3564,29.0,54
3565,39.0,40
3566,36.0,2
3567,44.0,4
3570,72.0,2
3571,32.0,43
3572,50.0,8
3576,70.0,115
3577,67.0,104
3578,43.0,18
3579,49.0,7
3580,93.0,78
3581,91.0,86
3583,38.0,12
3584,51.0,14
3585,81.0,49
3586,68.0,13
3588,60.0,6
3589,51.0,4
3593,59.0,7
3595,17.0,2
3599,26.0,9
3600,24.0,20
3612,17.0,1
3613,43.0,30
3617,6.0,2
3621,96.0,44
3622,98.0,27
3624,22.0,25
3625,27.0,15
3626,35.0,20
3627,44.0,95
3628,60.0,37
3629,25.0,1
3631,42.0,2
3632,21.0,24
3633,34.0,108
3634,36.0,9
3635,29.0,17
3636,32.0,27
3637,40.0,15
3638,58.0,27
3645,29.0,23
3646,29.0,13
3647,37.0,15
3648,52.0,8
3649,33.0,8
3650,35.0,4
3651,34.0,32
3652,52.0,21
3653,66.0,101
3654,34.0,74
3655,44.0,62
3656,22.0,86
3657,23.0,62
3658,24.0,156
3659,38.0,35
3660,42.0,7
3661,42.0,40
3662,34.0,18
3663,17.0,27
3664,26.0,67
3665,32.0,51
3666,26.0,6
3667,38.0,1
3668,23.0,1
3669,54.0,1
3670,44.0,44
3671,26.0,57
3672,50.0,20
3673,15.0,12
3674,9.0,5
3675,57.0,114
3676,66.0,25
3677,36.0,23
3678,3.0,3
3679,34.0,2
3680,27.0,7
3681,87.0,136
3682,76.0,40
3683,69.0,47
3684,69.0,76
3685,40.0,4
3686,33.0,2
3688,60.0,8
3693,41.0,7
3695,63.0,1
3698,55.0,7
3699,31.0,13
3700,30.0,5
3705,70.0,1
3712,48.0,15
3713,55.0,11
3717,50.0,1
3721,103.0,62
3725,34.0,26
3726,29.0,23
3727,51.0,2
3728,67.0,23
3729,47.0,67
3730,39.0,97
3731,45.0,11
3732,39.0,76
3733,38.0,35
3734,32.0,78
3735,39.0,53
3736,44.0,33
3737,37.0,6
